Code,Description
20846611,Trioptimum Logistics JNB Pty Ltd
20688100,PTR Logistics CC
ZZZ00002,International Liner Agencies
01120111,Groupair SA Pty Ltd
01132178,Expeditors International
01846467,London Logistics Pty Ltd
00394814,Courier Local & International Pty Ltd t/a Airfreight Africa
20611732,Trade Mixers 20 CC
20334861,Seven Seas Freight CC
20755578,ICM Clearing and Forwarding Pty Ltd
ZZZ00122,Seacon NVOCC (Pty) Ltd
ZZZ00102,International Forwarding Services JNB Pty Ltd
01466631,Pro-Logistics Forwarding (Pty) Ltd
00300583,Heneways Freight Services Pty Ltd
ZZZ00072,Victory Freight Services
01249758,Express Link Cargo South Africa
01332752,Chalba Freight Brokers
00615068,Turners Shipping (Pty) Ltd
21440506,Lesawave (Pty) Ltd
20794812,Afro-Asian Logistics SA Pty Ltd
ZZZ00118,AMG Freight Logistics CC
20633874,Aviumkhumbi Cape Pty Ltd
00299103,Kuehne & Nagel (Pty) Ltd
20446609,Blue Sky Logistics Pty Ltd
ZZZ00110,4 Ways Logistics CC
21254711,Emiac Pty Ltd
01279964,Mondeo Express Freight (Pty) Ltd
21434256,Imperial Managed Logistics (Pty) Ltd
20226920,Monachus Project Logistics
21224742,LCL AND AIR CARGO MOVERS
21272130,V and E Freight
01483070,Loonat MSE t/a Advance Forwarders
21093163,E And F Clearing Consultants And Logistics Cc
01376322,Sebenza Forwarding & Shipping Pty Ltd
21105002,Asia Pacific Cargo Pty Ltd
ZZZ00105,Rolyn Logistics Pty Ltd
ZZZ00049,Global Star Shipping CC
00748587,Voigt Shipping
00534679,Kintetsu World Express SA Pty Ltd
20805757,Aeromarine Freight Services CC
ZZZ00075,Jongozi Freight (Pty) Ltd
21252141,General Express Forwarding Company SA Pty Ltd
21266387,Avicape (Pty) Ltd
21239994,Shipping and Sourcing CC
01162538,Afriglobal Freight CC
00703064,Toll Global Forwarding SA
01394043,Savino Del Bene South Africa Pty Ltd
ZZZ00111,Dagiva Logistics (Pty) Ltd
20272774,TA Trans CC
21302353,TBE Freight Logistics
21326269,Taylored Logistics Pty Ltd
01044457,Intercargo Forwarding Pty Ltd
21503004,VDM Cargo Solutions (Pty) Ltd
ZZZ00034,Renaissance Storage Pty Ltd
ZZZ00117,African Seas CC
01644068,GAC Shipping (SA) (Pty) Ltd
01929371,SNK Consulting CC
01351925,General Shipping Services (Pty) Ltd
21071617,Cairlyon Freight CC
00476641,Sabila Air and Sea Pty Ltd
01462571,SRP Shipping (Pty) Ltd
ZZZ00026,Nessi International Freight Consultants
ZZZ00119,Marexport Pty Ltd
ZZZ00108,Valotone 146 CC
20421721,International Forwarding Services KZN Pty Ltd
20379616,DJM Global Logistics CC
01796636,Rohlig-Grindrod (Pty) Ltd
20085460,Temoore Freight Agency CC t/a DN Freight
ZZZ00116,AFI Logistics Pty Ltd
00298913,Tibbett and Britten T/A Unifast
ZZZ00006,United Maritime Logistics
20330149,Glasshouse Trading 109 Pty Ltd T/A  TW Logistics
01699070,The Amiss Family Trust
01628153,M Squared World Of Shipping CC
